t,value,value_norm,alloc_a,alloc_b
32,3.909090909090909,0.32323232323232326,0.5826804533963594,0.41731954660364057
33,4.0,0.3333333333333333,0.5847006554165615,0.41529934458343853
34,4.090909090909091,0.3434343434343434,0.5867208574367635,0.4132791425632365
35,4.181818181818182,0.35353535353535354,0.5887410594569655,0.41125894054303447
36,4.272727272727273,0.3636363636363637,0.5907612614771676,0.40923873852283243
37,4.363636363636363,0.3737373737373737,0.5927814634973695,0.4072185365026305
38,4.454545454545455,0.38383838383838387,0.5948016655175715,0.4051983344824285
39,4.545454545454545,0.39393939393939387,0.5968218675377736,0.40317813246222645
40,4.636363636363637,0.4040404040404041,0.5988420695579756,0.4011579304420244
41,4.7272727272727275,0.41414141414141414,0.6008622715781776,0.3991377284218224
42,4.818181818181818,0.42424242424242425,0.6028824735983797,0.39711752640162035
43,4.909090909090909,0.43434343434343436,0.6049026756185817,0.3950973243814183
44,5.0,0.4444444444444444,0.6069228776387837,0.3930771223612163
45,5.090909090909091,0.45454545454545453,0.6089430796589856,0.39105692034101436
46,5.181818181818182,0.46464646464646464,0.6109632816791877,0.3890367183208123
47,5.2727272727272725,0.4747474747474747,0.6129834836993897,0.3870165163006103
48,5.363636363636363,0.4848484848484848,0.6150036857195917,0.38499631428040826
49,5.454545454545455,0.49494949494949503,0.6170238877397938,0.3829761122602062
50,5.545454545454546,0.5050505050505051,0.6190440897599958,0.3809559102400042
51,5.636363636363637,0.5151515151515151,0.6210642917801978,0.37893570821980216
52,5.7272727272727275,0.5252525252525253,0.6230844938003999,0.3769155061996001
53,5.818181818181818,0.5353535353535354,0.6251046958206019,0.3748953041793981
54,5.909090909090909,0.5454545454545454,0.6271248978408038,0.37287510215919617
55,6.0,0.5555555555555556,0.6291450998610059,0.37085490013899414
56,6.090909090909091,0.5656565656565656,0.6311653018812079,0.3688346981187921
57,6.181818181818182,0.5757575757575757,0.6331855039014099,0.36681449609859007
58,6.2727272727272725,0.5858585858585859,0.635205705921612,0.36479429407838804
59,6.363636363636364,0.595959595959596,0.637225907941814,0.362774092058186
60,6.454545454545455,0.6060606060606061,0.639246109962016,0.36075389003798397
61,6.545454545454546,0.6161616161616162,0.6412663119822181,0.35873368801778194
62,6.636363636363637,0.6262626262626263,0.6432865140024201,0.3567134859975799
63,6.7272727272727275,0.6363636363636364,0.645306716022622,0.354693283977378
64,6.818181818181818,0.6464646464646465,0.647326918042824,0.35267308195717595
65,6.909090909090909,0.6565656565656566,0.6493471200630261,0.3506528799369739
66,7.0,0.6666666666666666,0.6513673220832281,0.3486326779167719
67,7.090909090909091,0.6767676767676768,0.6533875241034302,0.34661247589656985
68,7.181818181818182,0.6868686868686869,0.6554077261236322,0.3445922738763678
69,7.2727272727272725,0.6969696969696969,0.6574279281438342,0.3425720718561658
70,7.363636363636364,0.7070707070707072,0.6594481301640363,0.34055186983596375
71,7.454545454545455,0.7171717171717172,0.6614683321842383,0.3385316678157617
72,7.545454545454546,0.7272727272727273,0.6634885342044402,0.3365114657955598
73,7.636363636363637,0.7373737373737375,0.6655087362246422,0.33449126377535776
74,7.7272727272727275,0.7474747474747475,0.6675289382448443,0.33247106175515573
75,7.818181818181818,0.7575757575757576,0.6695491402650463,0.3304508597349537
76,7.909090909090909,0.7676767676767677,0.6715693422852483,0.32843065771475166
77,8.0,0.7777777777777778,0.6735895443054504,0.32641045569454963
78,8.09090909090909,0.7878787878787877,0.6756097463256523,0.3243902536743477
79,8.181818181818182,0.797979797979798,0.6776299483458544,0.32237005165414556
80,8.272727272727273,0.8080808080808082,0.6796501503660565,0.32034984963394353
81,8.363636363636363,0.8181818181818181,0.6816703523862584,0.3183296476137416
82,8.454545454545455,0.8282828282828283,0.6836905544064604,0.3163094455935396
83,8.545454545454547,0.8383838383838386,0.6857107564266625,0.31428924357333754
84,8.636363636363637,0.8484848484848485,0.6877309584468645,0.3122690415531355
85,8.727272727272727,0.8585858585858586,0.6897511604670665,0.3102488395329335
