t,value,value_norm,alloc_a,alloc_b
73,8.424242424242426,0.9114219114219116,0.7003183710342771,0.2996816289657229
74,8.484848484848486,0.920745920745921,0.7021831728990791,0.29781682710092094
75,8.545454545454547,0.9300699300699302,0.7040479747638808,0.2959520252361192
76,8.606060606060607,0.9393939393939396,0.7059127766286827,0.2940872233713173
77,8.666666666666668,0.9487179487179489,0.7077775784934845,0.29222242150651545
78,8.690476190476192,0.9523809523809526,0.7085101792260853,0.2914898207739147
79,8.714285714285715,0.9560439560439562,0.709242779958686,0.290757220041314
80,8.738095238095239,0.9597069597069599,0.7099753806912867,0.29002461930871326
81,8.761904761904763,0.9633699633699635,0.7107079814238875,0.28929201857611253
82,8.785714285714286,0.9670329670329672,0.7114405821564882,0.2885594178435118
83,8.80952380952381,0.9706959706959708,0.7121731828890889,0.28782681711091107
84,8.833333333333332,0.9743589743589742,0.7129057836216897,0.28709421637831034
85,8.857142857142856,0.9780219780219779,0.7136383843542904,0.2863616156457096
