t,y,y_hat,err,sched
78,-0.20367180902693027,-0.08911509712610174,-0.10146432255849641,0.29179470288968434
79,-0.19688986472400416,-0.09162262037040202,-0.11204918865652826,0.28393799504972383
80,-0.16876445672427098,-0.09139013231794865,-0.10549973240605551,0.27639320225002106
81,-0.1501149665691399,-0.0951064676092093,-0.07365798911506169,0.26916777029017536
82,-0.16839063324026798,-0.0840003187906263,-0.06611464777851359,0.2622688297991941
83,-0.13434482931653385,-0.11033998102737515,-0.058050652212892837,0.2557031891984225
84,-0.1467728882036289,-0.07915626688439402,-0.055188562432139834,0.2494773279824546
85,-0.14018406983825424,-0.09470013343923366,-0.052072754764395254,0.24359739032465288
86,-0.1260722958899392,-0.07638026596115606,-0.06380380387709818,0.23806917901359226
87,-0.1461827743884893,-0.11550862370152426,-0.010563672188414946,0.23289814972640766
88,-0.12462926112243089,-0.10901839940657299,-0.037164374981916326,0.22808940564469948
89,-0.1555245400298888,-0.11012137826577548,-0.014507882856655413,0.22364769241830984
90,-0.1843084075133739,-0.11917196841062874,-0.03635257161926006,0.2195773934819386
91,-0.1772117027430691,-0.09268801362584063,-0.09162039388753328,0.21588252572922284
92,-0.14786118742137772,-0.1002469867570955,-0.07696471598597361,0.21256673554854763
93,-0.18004501148079327,-0.09394183321537641,-0.0539193542060013,0.20963329522450108
94,-0.21989825015631714,-0.06619681442534037,-0.1138481970554529,0.2070850997085245
95,-0.24620336988592512,-0.10941205244248,-0.11048619771383714,0.20492466376194496
96,-0.2732170691504455,-0.11691750108028172,-0.1292858688056434,0.20315411947420892
97,-0.24087661088573376,-0.11924021482598499,-0.15397685432446054,0.201775214158768
98,-0.21335688817446044,-0.14872477097446357,-0.09215183991127018,0.20078930862869138
99,-0.21819872620617675,-0.07759693250701129,-0.13575995566744914,0.20019737585370737
100,-0.20173554871020447,-0.12927611920020643,-0.08892260700597032,0.2
101,-0.22880966097559277,-0.1306325954650741,-0.07110295324513036,0.20019737585370737
102,-0.1993582818716954,-0.12247342993052984,-0.10633623104506293,0.20078930862869138
103,-0.1893431136234461,-0.13497215225521764,-0.06438612961647777,0.201775214158768
104,-0.17366187790161536,-0.16184208007790046,-0.027501033545545644,0.20315411947420886
105,-0.19406382066339917,-0.15470911968889156,-0.018952758212723797,0.2049246637619449
106,-0.1975999023240014,-0.17422493563579952,-0.019838885027599645,0.20708509970852457
107,-0.20859175943247846,-0.10349345477166855,-0.09410644755233286,0.20963329522450103
108,-0.18322165008287575,-0.1808131408325854,-0.027778618599893057,0.21256673554854755
109,-0.15855470021569334,-0.17269839198537093,-0.010523258097504817,0.21588252572922273
110,-0.16597523561975258,-0.1755828984167745,0.017028198201081146,0.21957739348193855
111,-0.15839652944532703,-0.1224383430131052,-0.04353689260664738,0.22364769241830984
112,-0.15927117130525983,-0.14341063790296033,-0.014985891542366708,0.22808940564469943
113,-0.12905834931720728,-0.162012357712231,0.002741186406971158,0.23289814972640752
114,-0.10620858534744193,-0.1486314623730466,0.019573113055839336,0.23806917901359215
115,-0.11466719260931861,-0.1496175368008672,0.04340895145342527,0.24359739032465294
116,-0.1545264263408081,-0.14659840361145401,0.031931211002135404,0.24947732798245462
117,-0.16094633057961238,-0.15799913472385216,0.0034727083830440597,0.25570318919842255
118,-0.17525994111906829,-0.14034439853485636,-0.02060193204475602,0.26226882979919397
119,-0.15222053853684206,-0.11165769950960128,-0.06360224160946701,0.2691677702901752
